fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-03,RGB,97.74,Sentinel-2B,RGB/2026-02-03_RGB.png,0.0
2026-02-03,ThermalFalseColor,97.74,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.0
2026-02-01,RGB,2.04,Sentinel-2B,RGB/2026-02-01_RGB.png,0.9
2026-02-01,ThermalFalseColor,2.04,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,1.02
2026-01-29,RGB,0.11,Sentinel-2B,RGB/2026-01-29_RGB.png,0.7
2026-01-29,ThermalFalseColor,0.11,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,0.77
2026-01-27,RGB,98.92,Sentinel-2B,RGB/2026-01-27_RGB.png,0.0
2026-01-27,ThermalFalseColor,98.92,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.0
2026-01-24,RGB,26.84,Sentinel-2B,RGB/2026-01-24_RGB.png,0.48
2026-01-24,ThermalFalseColor,26.84,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,0.63
2026-01-22,ThermalFalseColor,80.04,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,0.0
2026-01-22,RGB,80.04,Sentinel-2B,RGB/2026-01-22_RGB.png,0.0
2026-01-19,RGB,1.84,Sentinel-2B,RGB/2026-01-19_RGB.png,0.87
2026-01-19,ThermalFalseColor,1.84,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,0.97
2026-01-17,RGB,63.63,Sentinel-2B,RGB/2026-01-17_RGB.png,0.57
2026-01-17,ThermalFalseColor,63.63,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,0.94
2026-01-12,RGB,94.41,Sentinel-2B,RGB/2026-01-12_RGB.png,0.0
2026-01-12,ThermalFalseColor,94.41,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.0
2026-01-11,RGB,62.42,Sentinel-2B,RGB/2026-01-11_RGB.png,0.0
2026-01-11,ThermalFalseColor,62.42,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,0.0
