fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-30,RGB,94.02,Sentinel-2C L2A,2026-03-30_RGB.png,0.0
2026-03-30,ThermalFalseColor,94.02,Sentinel-2C L2A,2026-03-30_ThermalFalseColor.png,0.04
2026-03-28,RGB,1.36,Sentinel-2B L2A,2026-03-28_RGB.png,0.21
2026-03-28,ThermalFalseColor,1.36,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,0.15
2026-03-25,RGB,87.22,Sentinel-2B L2A,2026-03-25_RGB.png,0.0
2026-03-25,ThermalFalseColor,87.22,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.05
2026-03-22,RGB,95.53,Sentinel-2A L2A,2026-03-22_RGB.png,0.0
2026-03-22,ThermalFalseColor,95.53,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.06
2026-03-20,ThermalFalseColor,67.08,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.06
2026-03-20,RGB,67.08,Sentinel-2C L2A,2026-03-20_RGB.png,0.0
2026-03-18,RGB,99.95,Sentinel-2B L2A,2026-03-18_RGB.png,0.0
2026-03-18,ThermalFalseColor,99.95,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.04
2026-03-15,RGB,70.6,Sentinel-2B L2A,2026-03-15_RGB.png,0.08
2026-03-15,ThermalFalseColor,70.6,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.08
2026-03-13,RGB,99.38,Sentinel-2C L2A,2026-03-13_RGB.png,0.0
2026-03-13,ThermalFalseColor,99.38,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.03
2026-03-12,ThermalFalseColor,37.27,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,0.15
2026-03-12,RGB,37.27,Sentinel-2A L2A,2026-03-12_RGB.png,0.22
2026-03-10,RGB,0.4,Sentinel-2C L2A,2026-03-10_RGB.png,0.19
2026-03-10,ThermalFalseColor,0.4,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,0.13
2026-03-08,RGB,6.36,Sentinel-2B L2A,2026-03-08_RGB.png,0.18
2026-03-08,ThermalFalseColor,6.36,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.12
2026-03-05,RGB,10.92,Sentinel-2B L2A,2026-03-05_RGB.png,0.22
2026-03-05,ThermalFalseColor,10.92,Sentinel-2B L2A,2026-03-05_ThermalFalseColor.png,0.15
2026-03-03,RGB,99.91,Sentinel-2C L2A,2026-03-03_RGB.png,0.0
2026-03-03,ThermalFalseColor,99.91,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.03
2026-02-28,RGB,88.2,Sentinel-2C L2A,2026-02-28_RGB.png,0.0
2026-02-28,ThermalFalseColor,88.2,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,0.03
2026-02-26,RGB,71.92,Sentinel-2B L2A,2026-02-26_RGB.png,0.16
2026-02-26,ThermalFalseColor,71.92,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.11
2026-02-23,RGB,88.11,Sentinel-2B L2A,2026-02-23_RGB.png,0.0
2026-02-23,ThermalFalseColor,88.11,Sentinel-2B L2A,2026-02-23_ThermalFalseColor.png,0.06
