fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-03,RGB,92.75,Sentinel-2B,RGB/2026-02-03_RGB.png,0.0
2026-02-03,ThermalFalseColor,92.75,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.0
2026-02-01,RGB,9.16,Sentinel-2B,RGB/2026-02-01_RGB.png,1.06
2026-02-01,ThermalFalseColor,9.16,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,1.16
2026-01-29,RGB,16.01,Sentinel-2B,RGB/2026-01-29_RGB.png,1.0
2026-01-29,ThermalFalseColor,16.01,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,1.11
2026-01-27,RGB,99.99,Sentinel-2B,RGB/2026-01-27_RGB.png,0.0
2026-01-27,ThermalFalseColor,99.99,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.0
2026-01-24,RGB,18.47,Sentinel-2B,RGB/2026-01-24_RGB.png,0.84
2026-01-24,ThermalFalseColor,18.47,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,1.0
2026-01-22,RGB,79.43,Sentinel-2B,RGB/2026-01-22_RGB.png,0.0
2026-01-22,ThermalFalseColor,79.43,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,0.0
2026-01-19,ThermalFalseColor,0.01,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,1.13
2026-01-19,RGB,0.01,Sentinel-2B,RGB/2026-01-19_RGB.png,1.01
2026-01-17,RGB,91.77,Sentinel-2B,RGB/2026-01-17_RGB.png,0.17
2026-01-17,ThermalFalseColor,91.77,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,0.42
2026-01-12,RGB,71.78,Sentinel-2B,RGB/2026-01-12_RGB.png,0.0
2026-01-12,ThermalFalseColor,71.78,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.0
2026-01-11,RGB,54.15,Sentinel-2B,RGB/2026-01-11_RGB.png,0.0
2026-01-11,ThermalFalseColor,54.15,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,0.0
2026-01-09,RGB,16.03,Sentinel-2B,RGB/2026-01-09_RGB.png,1.03
2026-01-09,ThermalFalseColor,16.03,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,1.13
2026-01-07,RGB,0.11,Sentinel-2B,RGB/2026-01-07_RGB.png,0.97
2026-01-07,ThermalFalseColor,0.11,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,1.09
2026-01-04,ThermalFalseColor,0.01,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,1.15
2026-01-04,RGB,0.01,Sentinel-2B,RGB/2026-01-04_RGB.png,1.02
2026-01-02,RGB,3.36,Sentinel-2B,RGB/2026-01-02_RGB.png,0.94
2026-01-02,ThermalFalseColor,3.36,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,1.06
2025-12-30,RGB,87.94,Sentinel-2B,RGB/2025-12-30_RGB.png,0.0
2025-12-30,ThermalFalseColor,87.94,Sentinel-2B,ThermalFalseColor/2025-12-30_ThermalFalseColor.png,0.0
2025-12-28,RGB,7.25,Sentinel-2B,RGB/2025-12-28_RGB.png,1.0
2025-12-28,ThermalFalseColor,7.25,Sentinel-2B,ThermalFalseColor/2025-12-28_ThermalFalseColor.png,1.08
2025-12-25,RGB,80.4,Sentinel-2B,RGB/2025-12-25_RGB.png,0.0
2025-12-25,ThermalFalseColor,80.4,Sentinel-2B,ThermalFalseColor/2025-12-25_ThermalFalseColor.png,0.0
2025-12-23,RGB,99.14,Sentinel-2B,RGB/2025-12-23_RGB.png,0.0
2025-12-23,ThermalFalseColor,99.14,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,0.0
2025-12-22,ThermalFalseColor,89.4,Sentinel-2B,ThermalFalseColor/2025-12-22_ThermalFalseColor.png,0.0
2025-12-22,RGB,89.4,Sentinel-2B,RGB/2025-12-22_RGB.png,0.0
2025-12-20,RGB,98.3,Sentinel-2B,RGB/2025-12-20_RGB.png,0.0
2025-12-20,ThermalFalseColor,98.3,Sentinel-2B,ThermalFalseColor/2025-12-20_ThermalFalseColor.png,0.0
2025-12-18,RGB,77.17,Sentinel-2B,RGB/2025-12-18_RGB.png,0.0
2025-12-18,ThermalFalseColor,77.17,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,0.0
2025-12-15,RGB,95.02,Sentinel-2B,RGB/2025-12-15_RGB.png,0.0
2025-12-15,ThermalFalseColor,95.02,Sentinel-2B,ThermalFalseColor/2025-12-15_ThermalFalseColor.png,0.0
2025-12-13,RGB,99.96,Sentinel-2B,RGB/2025-12-13_RGB.png,0.0
2025-12-13,ThermalFalseColor,99.96,Sentinel-2B,ThermalFalseColor/2025-12-13_ThermalFalseColor.png,0.0
2025-12-10,RGB,51.37,Sentinel-2B,RGB/2025-12-10_RGB.png,0.0
2025-12-10,ThermalFalseColor,51.37,Sentinel-2B,ThermalFalseColor/2025-12-10_ThermalFalseColor.png,0.0
