fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-01-29,RGB,9e-06,Sentinel-2B,RGB/2026-01-29_RGB.png,1.17
2026-01-29,ThermalFalseColor,9e-06,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,0.98
2026-01-27,RGB,6.282013,Sentinel-2B,RGB/2026-01-27_RGB.png,1.11
2026-01-27,ThermalFalseColor,6.282013,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.93
2026-01-24,RGB,0.978408,Sentinel-2B,RGB/2026-01-24_RGB.png,1.17
2026-01-24,ThermalFalseColor,0.978408,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,0.98
2026-01-22,RGB,0.308247,Sentinel-2B,RGB/2026-01-22_RGB.png,1.14
2026-01-22,ThermalFalseColor,0.308247,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,0.94
2026-01-19,RGB,0.011364,Sentinel-2B,RGB/2026-01-19_RGB.png,1.18
2026-01-19,ThermalFalseColor,0.011364,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,0.97
2026-01-17,ThermalFalseColor,0.920787,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,0.94
2026-01-17,RGB,0.920787,Sentinel-2B,RGB/2026-01-17_RGB.png,1.13
2026-01-11,RGB,9.2e-05,Sentinel-2A,RGB/2026-01-11_RGB.png,1.15
2026-01-11,ThermalFalseColor,9.2e-05,Sentinel-2A,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,0.96
2026-01-09,RGB,0.156519,Sentinel-2B,RGB/2026-01-09_RGB.png,1.15
2026-01-09,ThermalFalseColor,0.156519,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,0.95
2026-01-07,RGB,0.078092,Sentinel-2B,RGB/2026-01-07_RGB.png,1.12
2026-01-07,ThermalFalseColor,0.078092,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,0.93
2026-01-04,RGB,0.000512,Sentinel-2B,RGB/2026-01-04_RGB.png,1.14
2026-01-04,ThermalFalseColor,0.000512,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,0.95
2026-01-02,RGB,0.000143,Sentinel-2B,RGB/2026-01-02_RGB.png,1.1
2026-01-02,ThermalFalseColor,0.000143,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,0.92
