fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-06,RGB,7.03,Sentinel-2B,RGB/2026-02-06_RGB.png,1.02
2026-02-06,ThermalFalseColor,7.03,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,1.1
2026-02-01,RGB,1.23,Sentinel-2B,RGB/2026-02-01_RGB.png,0.93
2026-02-01,ThermalFalseColor,1.23,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,1.06
2026-01-27,RGB,1.81,Sentinel-2B,RGB/2026-01-27_RGB.png,0.91
2026-01-27,ThermalFalseColor,1.81,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,1.04
2026-01-22,RGB,47.74,Sentinel-2B,RGB/2026-01-22_RGB.png,0.75
2026-01-22,ThermalFalseColor,47.74,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,1.03
2026-01-17,RGB,19.27,Sentinel-2B,RGB/2026-01-17_RGB.png,0.94
2026-01-17,ThermalFalseColor,19.27,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,1.03
2026-01-12,RGB,1.63,Sentinel-2B,RGB/2026-01-12_RGB.png,0.96
2026-01-12,ThermalFalseColor,1.63,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,1.08
2026-01-07,ThermalFalseColor,0.16,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,1.05
2026-01-07,RGB,0.16,Sentinel-2B,RGB/2026-01-07_RGB.png,0.92
2026-01-02,RGB,0.34,Sentinel-2B,RGB/2026-01-02_RGB.png,0.93
2026-01-02,ThermalFalseColor,0.34,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,1.06
2025-12-28,RGB,43.8,Sentinel-2B,RGB/2025-12-28_RGB.png,1.1
2025-12-28,ThermalFalseColor,43.8,Sentinel-2B,ThermalFalseColor/2025-12-28_ThermalFalseColor.png,1.15
2025-12-25,RGB,46.3,Sentinel-2B,RGB/2025-12-25_RGB.png,1.01
2025-12-25,ThermalFalseColor,46.3,Sentinel-2B,ThermalFalseColor/2025-12-25_ThermalFalseColor.png,1.09
2025-12-23,RGB,1.15,Sentinel-2B,RGB/2025-12-23_RGB.png,0.93
2025-12-23,ThermalFalseColor,1.15,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,1.06
2025-12-18,ThermalFalseColor,0.07,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,1.05
2025-12-18,RGB,0.07,Sentinel-2B,RGB/2025-12-18_RGB.png,0.92
2025-12-13,RGB,2.05,Sentinel-2B,RGB/2025-12-13_RGB.png,0.93
2025-12-13,ThermalFalseColor,2.05,Sentinel-2B,ThermalFalseColor/2025-12-13_ThermalFalseColor.png,1.06
2025-12-08,RGB,0.25,Sentinel-2B,RGB/2025-12-08_RGB.png,0.89
2025-12-08,ThermalFalseColor,0.25,Sentinel-2B,ThermalFalseColor/2025-12-08_ThermalFalseColor.png,1.02
