fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-18,ThermalFalseColor,0.07,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.4
2026-03-18,RGB,0.07,Sentinel-2B L2A,2026-03-18_RGB.png,0.59
2026-03-13,ThermalFalseColor,0.21,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.41
2026-03-13,RGB,0.21,Sentinel-2C L2A,2026-03-13_RGB.png,0.58
2026-03-08,ThermalFalseColor,0.05,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.4
2026-03-08,RGB,0.05,Sentinel-2B L2A,2026-03-08_RGB.png,0.57
2026-03-03,ThermalFalseColor,5.72,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.39
2026-03-03,RGB,5.72,Sentinel-2C L2A,2026-03-03_RGB.png,0.55
2026-02-26,ThermalFalseColor,0.41,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.4
2026-02-26,RGB,0.41,Sentinel-2B L2A,2026-02-26_RGB.png,0.61
2026-02-21,ThermalFalseColor,4.9,Sentinel-2C L2A,2026-02-21_ThermalFalseColor.png,0.14
2026-02-21,RGB,4.9,Sentinel-2C L2A,2026-02-21_RGB.png,0.05
2026-02-16,ThermalFalseColor,8.94,Sentinel-2B L2A,2026-02-16_ThermalFalseColor.png,0.36
2026-02-16,RGB,8.94,Sentinel-2B L2A,2026-02-16_RGB.png,0.5
2026-02-11,ThermalFalseColor,0.07,Sentinel-2C L2A,2026-02-11_ThermalFalseColor.png,0.41
2026-02-11,RGB,0.07,Sentinel-2C L2A,2026-02-11_RGB.png,0.58
2026-02-06,RGB,7.03,Sentinel-2B L2A,2026-02-06_RGB.png,0.65
2026-02-06,ThermalFalseColor,7.03,Sentinel-2B L2A,2026-02-06_ThermalFalseColor.png,0.43
2026-02-01,RGB,1.23,Sentinel-2C L2A,2026-02-01_RGB.png,0.57
2026-02-01,ThermalFalseColor,1.23,Sentinel-2C L2A,2026-02-01_ThermalFalseColor.png,0.4
2026-01-27,RGB,1.81,Sentinel-2B L2A,2026-01-27_RGB.png,0.48
2026-01-27,ThermalFalseColor,1.81,Sentinel-2B L2A,2026-01-27_ThermalFalseColor.png,0.35
2026-01-22,RGB,47.74,Sentinel-2C L2A,2026-01-22_RGB.png,0.19
2026-01-22,ThermalFalseColor,47.74,Sentinel-2C L2A,2026-01-22_ThermalFalseColor.png,0.23
2026-01-17,RGB,19.27,Sentinel-2B L2A,2026-01-17_RGB.png,0.54
2026-01-17,ThermalFalseColor,19.27,Sentinel-2B L2A,2026-01-17_ThermalFalseColor.png,0.38
2026-01-12,RGB,1.63,Sentinel-2C L2A,2026-01-12_RGB.png,0.58
2026-01-12,ThermalFalseColor,1.63,Sentinel-2C L2A,2026-01-12_ThermalFalseColor.png,0.41
2026-01-07,RGB,0.16,Sentinel-2B L2A,2026-01-07_RGB.png,0.55
2026-01-07,ThermalFalseColor,0.16,Sentinel-2B L2A,2026-01-07_ThermalFalseColor.png,0.39
2026-01-02,RGB,0.34,Sentinel-2C L2A,2026-01-02_RGB.png,0.55
2026-01-02,ThermalFalseColor,0.34,Sentinel-2C L2A,2026-01-02_ThermalFalseColor.png,0.4
2025-12-28,RGB,43.8,Sentinel-2B L2A,2025-12-28_RGB.png,0.45
2025-12-28,ThermalFalseColor,43.8,Sentinel-2B L2A,2025-12-28_ThermalFalseColor.png,0.32
2025-12-25,RGB,46.3,Sentinel-2A L2A,2025-12-25_RGB.png,0.58
2025-12-25,ThermalFalseColor,46.3,Sentinel-2A L2A,2025-12-25_ThermalFalseColor.png,0.4
2025-12-23,ThermalFalseColor,1.15,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,0.39
2025-12-23,RGB,1.15,Sentinel-2B,RGB/2025-12-23_RGB.png,0.55
2025-12-18,RGB,0.07,Sentinel-2B,RGB/2025-12-18_RGB.png,0.55
2025-12-18,ThermalFalseColor,0.07,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,0.39
2025-12-13,RGB,2.05,Sentinel-2B,RGB/2025-12-13_RGB.png,0.56
2025-12-13,ThermalFalseColor,2.05,Sentinel-2B,ThermalFalseColor/2025-12-13_ThermalFalseColor.png,0.4
