fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-03-30,RGB,3.93,Sentinel-2C L2A,2026-03-30_RGB.png,0.55
2026-03-30,ThermalFalseColor,3.93,Sentinel-2C L2A,2026-03-30_ThermalFalseColor.png,0.43
2026-03-28,RGB,0.0,Sentinel-2B L2A,2026-03-28_RGB.png,0.5
2026-03-28,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-03-28_ThermalFalseColor.png,0.4
2026-03-25,RGB,16.88,Sentinel-2B L2A,2026-03-25_RGB.png,0.42
2026-03-25,ThermalFalseColor,16.88,Sentinel-2B L2A,2026-03-25_ThermalFalseColor.png,0.37
2026-03-22,RGB,65.44,Sentinel-2A L2A,2026-03-22_RGB.png,0.0
2026-03-22,ThermalFalseColor,65.44,Sentinel-2A L2A,2026-03-22_ThermalFalseColor.png,0.12
2026-03-20,RGB,64.5,Sentinel-2C L2A,2026-03-20_RGB.png,0.31
2026-03-20,ThermalFalseColor,64.5,Sentinel-2C L2A,2026-03-20_ThermalFalseColor.png,0.31
2026-03-18,ThermalFalseColor,0.0,Sentinel-2B L2A,2026-03-18_ThermalFalseColor.png,0.45
2026-03-18,RGB,0.0,Sentinel-2B L2A,2026-03-18_RGB.png,0.63
2026-03-15,RGB,22.41,Sentinel-2B L2A,2026-03-15_RGB.png,0.58
2026-03-15,ThermalFalseColor,22.41,Sentinel-2B L2A,2026-03-15_ThermalFalseColor.png,0.45
2026-03-13,RGB,0.91,Sentinel-2C L2A,2026-03-13_RGB.png,0.59
2026-03-13,ThermalFalseColor,0.91,Sentinel-2C L2A,2026-03-13_ThermalFalseColor.png,0.44
2026-03-12,RGB,22.85,Sentinel-2A L2A,2026-03-12_RGB.png,0.59
2026-03-12,ThermalFalseColor,22.85,Sentinel-2A L2A,2026-03-12_ThermalFalseColor.png,0.44
2026-03-10,RGB,19.3,Sentinel-2C L2A,2026-03-10_RGB.png,0.56
2026-03-10,ThermalFalseColor,19.3,Sentinel-2C L2A,2026-03-10_ThermalFalseColor.png,0.43
2026-03-08,ThermalFalseColor,14.06,Sentinel-2B L2A,2026-03-08_ThermalFalseColor.png,0.34
2026-03-08,RGB,14.06,Sentinel-2B L2A,2026-03-08_RGB.png,0.3
2026-03-05,RGB,31.34,Sentinel-2B L2A,2026-03-05_RGB.png,0.6
2026-03-05,ThermalFalseColor,31.34,Sentinel-2B L2A,2026-03-05_ThermalFalseColor.png,0.44
2026-03-03,RGB,0.24,Sentinel-2C L2A,2026-03-03_RGB.png,0.6
2026-03-03,ThermalFalseColor,0.24,Sentinel-2C L2A,2026-03-03_ThermalFalseColor.png,0.44
2026-02-28,RGB,5.27,Sentinel-2C L2A,2026-02-28_RGB.png,0.58
2026-02-28,ThermalFalseColor,5.27,Sentinel-2C L2A,2026-02-28_ThermalFalseColor.png,0.43
2026-02-26,RGB,4.7,Sentinel-2B L2A,2026-02-26_RGB.png,0.22
2026-02-26,ThermalFalseColor,4.7,Sentinel-2B L2A,2026-02-26_ThermalFalseColor.png,0.19
2026-02-23,ThermalFalseColor,5.26,Sentinel-2B L2A,2026-02-23_ThermalFalseColor.png,0.42
2026-02-23,RGB,5.26,Sentinel-2B L2A,2026-02-23_RGB.png,0.57
2026-02-21,RGB,7.66,Sentinel-2C L2A,2026-02-21_RGB.png,0.56
2026-02-21,ThermalFalseColor,7.66,Sentinel-2C L2A,2026-02-21_ThermalFalseColor.png,0.42
2026-02-18,RGB,12.74,Sentinel-2C L2A,2026-02-18_RGB.png,0.54
2026-02-18,ThermalFalseColor,12.74,Sentinel-2C L2A,2026-02-18_ThermalFalseColor.png,0.41
2026-02-16,RGB,0.11,Sentinel-2B L2A,2026-02-16_RGB.png,0.52
2026-02-16,ThermalFalseColor,0.11,Sentinel-2B L2A,2026-02-16_ThermalFalseColor.png,0.41
2026-02-13,RGB,24.4,Sentinel-2B L2A,2026-02-13_RGB.png,0.0
2026-02-13,ThermalFalseColor,24.4,Sentinel-2B L2A,2026-02-13_ThermalFalseColor.png,0.0
2026-02-11,RGB,0.94,Sentinel-2C L2A,2026-02-11_RGB.png,0.49
2026-02-11,ThermalFalseColor,0.94,Sentinel-2C L2A,2026-02-11_ThermalFalseColor.png,0.4
