fecha,tipo,cobertura_nubosa,sensor,ruta_archivo,tamano_mb
2026-02-13,RGB,5.05,Sentinel-2B,RGB/2026-02-13_RGB.png,0.51
2026-02-13,ThermalFalseColor,5.05,Sentinel-2B,ThermalFalseColor/2026-02-13_ThermalFalseColor.png,0.36
2026-02-11,ThermalFalseColor,85.12,Sentinel-2B,ThermalFalseColor/2026-02-11_ThermalFalseColor.png,0.03
2026-02-11,RGB,85.12,Sentinel-2B,RGB/2026-02-11_RGB.png,0.01
2026-02-08,ThermalFalseColor,99.79,Sentinel-2B,ThermalFalseColor/2026-02-08_ThermalFalseColor.png,0.17
2026-02-08,RGB,99.79,Sentinel-2B,RGB/2026-02-08_RGB.png,0.24
2026-02-06,RGB,99.92,Sentinel-2B,RGB/2026-02-06_RGB.png,0.04
2026-02-06,ThermalFalseColor,99.92,Sentinel-2B,ThermalFalseColor/2026-02-06_ThermalFalseColor.png,0.07
2026-02-03,RGB,91.05,Sentinel-2B,RGB/2026-02-03_RGB.png,0.29
2026-02-03,ThermalFalseColor,91.05,Sentinel-2B,ThermalFalseColor/2026-02-03_ThermalFalseColor.png,0.26
2026-02-01,RGB,74.4,Sentinel-2B,RGB/2026-02-01_RGB.png,0.42
2026-02-01,ThermalFalseColor,74.4,Sentinel-2B,ThermalFalseColor/2026-02-01_ThermalFalseColor.png,0.29
2026-01-29,RGB,63.91,Sentinel-2B,RGB/2026-01-29_RGB.png,0.21
2026-01-29,ThermalFalseColor,63.91,Sentinel-2B,ThermalFalseColor/2026-01-29_ThermalFalseColor.png,0.21
2026-01-27,RGB,99.63,Sentinel-2B,RGB/2026-01-27_RGB.png,0.0
2026-01-27,ThermalFalseColor,99.63,Sentinel-2B,ThermalFalseColor/2026-01-27_ThermalFalseColor.png,0.12
2026-01-24,RGB,85.59,Sentinel-2B,RGB/2026-01-24_RGB.png,0.02
2026-01-24,ThermalFalseColor,85.59,Sentinel-2B,ThermalFalseColor/2026-01-24_ThermalFalseColor.png,0.1
2026-01-22,RGB,98.34,Sentinel-2B,RGB/2026-01-22_RGB.png,0.04
2026-01-22,ThermalFalseColor,98.34,Sentinel-2B,ThermalFalseColor/2026-01-22_ThermalFalseColor.png,0.11
2026-01-19,ThermalFalseColor,0.27,Sentinel-2B,ThermalFalseColor/2026-01-19_ThermalFalseColor.png,0.38
2026-01-19,RGB,0.27,Sentinel-2B,RGB/2026-01-19_RGB.png,0.54
2026-01-17,RGB,72.68,Sentinel-2B,RGB/2026-01-17_RGB.png,0.0
2026-01-17,ThermalFalseColor,72.68,Sentinel-2B,ThermalFalseColor/2026-01-17_ThermalFalseColor.png,0.15
2026-01-12,RGB,98.24,Sentinel-2B,RGB/2026-01-12_RGB.png,0.0
2026-01-12,ThermalFalseColor,98.24,Sentinel-2B,ThermalFalseColor/2026-01-12_ThermalFalseColor.png,0.13
2026-01-11,RGB,99.97,Sentinel-2B,RGB/2026-01-11_RGB.png,0.0
2026-01-11,ThermalFalseColor,99.97,Sentinel-2B,ThermalFalseColor/2026-01-11_ThermalFalseColor.png,0.09
2026-01-09,ThermalFalseColor,55.63,Sentinel-2B,ThermalFalseColor/2026-01-09_ThermalFalseColor.png,0.2
2026-01-09,RGB,55.63,Sentinel-2B,RGB/2026-01-09_RGB.png,0.16
2026-01-07,RGB,98.61,Sentinel-2B,RGB/2026-01-07_RGB.png,0.38
2026-01-07,ThermalFalseColor,98.61,Sentinel-2B,ThermalFalseColor/2026-01-07_ThermalFalseColor.png,0.26
2026-01-04,ThermalFalseColor,0.0,Sentinel-2B,ThermalFalseColor/2026-01-04_ThermalFalseColor.png,0.38
2026-01-04,RGB,0.0,Sentinel-2B,RGB/2026-01-04_RGB.png,0.54
2026-01-02,RGB,45.0,Sentinel-2B,RGB/2026-01-02_RGB.png,0.45
2026-01-02,ThermalFalseColor,45.0,Sentinel-2B,ThermalFalseColor/2026-01-02_ThermalFalseColor.png,0.32
2025-12-30,RGB,98.81,Sentinel-2B,RGB/2025-12-30_RGB.png,0.0
2025-12-30,ThermalFalseColor,98.81,Sentinel-2B,ThermalFalseColor/2025-12-30_ThermalFalseColor.png,0.08
2025-12-28,RGB,77.78,Sentinel-2B,RGB/2025-12-28_RGB.png,0.31
2025-12-28,ThermalFalseColor,77.78,Sentinel-2B,ThermalFalseColor/2025-12-28_ThermalFalseColor.png,0.29
2025-12-25,RGB,99.94,Sentinel-2B,RGB/2025-12-25_RGB.png,0.0
2025-12-25,ThermalFalseColor,99.94,Sentinel-2B,ThermalFalseColor/2025-12-25_ThermalFalseColor.png,0.05
2025-12-23,RGB,96.42,Sentinel-2B,RGB/2025-12-23_RGB.png,0.0
2025-12-23,ThermalFalseColor,96.42,Sentinel-2B,ThermalFalseColor/2025-12-23_ThermalFalseColor.png,0.13
2025-12-22,ThermalFalseColor,99.63,Sentinel-2B,ThermalFalseColor/2025-12-22_ThermalFalseColor.png,0.1
2025-12-22,RGB,99.63,Sentinel-2B,RGB/2025-12-22_RGB.png,0.0
2025-12-20,ThermalFalseColor,99.99,Sentinel-2B,ThermalFalseColor/2025-12-20_ThermalFalseColor.png,0.07
2025-12-20,RGB,99.99,Sentinel-2B,RGB/2025-12-20_RGB.png,0.0
2025-12-18,RGB,97.69,Sentinel-2B,RGB/2025-12-18_RGB.png,0.01
2025-12-18,ThermalFalseColor,97.69,Sentinel-2B,ThermalFalseColor/2025-12-18_ThermalFalseColor.png,0.1
2025-12-15,ThermalFalseColor,96.38,Sentinel-2B,ThermalFalseColor/2025-12-15_ThermalFalseColor.png,0.11
2025-12-15,RGB,96.38,Sentinel-2B,RGB/2025-12-15_RGB.png,0.04
2025-12-13,ThermalFalseColor,99.5,Sentinel-2B,ThermalFalseColor/2025-12-13_ThermalFalseColor.png,0.0
2025-12-13,RGB,99.5,Sentinel-2B,RGB/2025-12-13_RGB.png,0.0
